start,end,provider
3396000,3396999,GTTG
4400000,4400999,GTTG
4401000,4401999,GTTG
4402000,4402999,GTTG
4403000,4403999,GTTG
4410000,4410999,GTTG
4411000,4411999,GTTG
4412000,4412999,GTTG
4413000,4413999,GTTG
4420000,4420999,GTTG
4421000,4421999,GTTG
4422000,4422999,GTTG
4423000,4423999,GTTG
4424000,4424999,GTTG
4440000,4449999,GTTG
4550000,4550999,GTTG
4551000,4551999,GTTG
4552000,4552999,GTTG
4553000,4553999,GTTG
4560000,4560999,GTTG
4561000,4561999,GTTG
4562000,4562999,GTTG
5000000,5009999,GTTG
5010000,5019999,GTTG
5020000,5029999,GTTG
5030000,5039999,GTTG
5040000,5049999,GTTG
5050000,5059999,GTTG
5060000,5069999,GTTG
5100000,5109999,DIGG
5150000,5159999,ENTG
6000000,6009999,DIGG
6010000,6019999,DIGG
6020000,6029999,DIGG
6030000,6039999,DIGG
6040000,6049999,DIGG
6080000,6089999,DIGG
6090000,6099999,GTTG
6100000,6199999,GTTG
6200000,6299999,GTTG
6300000,6309999,DIGG
6320000,6329999,DIGG
6330000,6339999,DIGG
6340000,6349999,GTTG
6350000,6359999,ENTG
6360000,6369999,DIGG
6370000,6379999,DIGG
6380000,6389999,GTTG
6390000,6399999,GTTG
6400000,6499999,GTTG
6500000,6509999,GTTG
6510000,6519999,GTTG
6520000,6529999,GTTG
6530000,6539999,GTTG
6540000,6549999,GTTG
6550000,6559999,GTTG
6560000,6569999,GTTG
6570000,6579999,GTTG
6580000,6589999,GTTG
6590000,6599999,DIGG
6600000,6699999,DIGG
6700000,6709999,DIGG
6710000,6719999,DIGG
6720000,6729999,DIGG
6730000,6739999,DIGG
6740000,6749999,DIGG
6750000,6759999,DIGG
6760000,6769999,DIGG
6770000,6779999,DIGG
6780000,6789999,DIGG
6790000,6799999,DIGG
6800000,6809999,DIGG
6810000,6819999,DIGG
6820000,6829999,DIGG
6830000,6839999,DIGG
6840000,6849999,DIGG
6850000,6859999,DIGG
6860000,6869999,DIGG
6870000,6879999,DIGG
6880000,6889999,DIGG
6890000,6899999,DIGG
6900000,6999999,DIGG
7000000,7009999,DIGG
7010000,7019999,DIGG
7020000,7029999,DIGG
7030000,7039999,DIGG
7040000,7049999,DIGG
7050000,7059999,GTTG
7060000,7069999,GTTG
7070000,7079999,GTTG
7080000,7089999,GTTG
7090000,7099999,GTTG
7100000,7109999,ENTG
7110000,7119999,ENTG
7120000,7129999,ENTG
7130000,7139999,ENTG
7140000,7149999,ENTG
7150000,7159999,ENTG
7160000,7169999,ENTG
7170000,7179999,ENTG
7180000,7189999,ENTG
7190000,7199999,ENTG
7200000,7209999,ENTG
7210000,7219999,DIGG
7220000,7229999,DIGG
7230000,7239999,DIGG
7240000,7249999,DIGG
7250000,7259999,GTTG
7260000,7269999,GTTG
7270000,7279999,GTTG
7280000,7289999,GTTG
7290000,7299999,GTTG
7300000,7309999,ENTG
7310000,7319999,ENTG
7320000,7329999,ENTG
7330000,7339999,ENTG
7340000,7349999,ENTG
7350000,7359999,ENTG
7360000,7369999,ENTG
7370000,7379999,ENTG
7380000,7389999,ENTG
7390000,7399999,ENTG
7400000,7409999,ENTG
7410000,7419999,ENTG
7420000,7429999,ENTG
7430000,7439999,DIGG
7440000,7449999,DIGG
7450000,7459999,DIGG
7460000,7469999,DIGG
7470000,7479999,DIGG
7480000,7489999,DIGG
7490000,7499999,DIGG
7500000,7509999,DIGG
7510000,7519999,GTTG
7520000,7529999,GTTG
7530000,7539999,GTTG
7540000,7549999,GTTG
7550000,7559999,GTTG
7560000,7569999,GTTG
7570000,7579999,GTTG
7580000,7589999,GTTG
